,Date,Open,High,Low,Close,Adj Close,Volume,%K,%D,RSI,ADX,EMA_8,EMA_21,EMA_34,EMA_55,EMA_89,SMA_50,SMA_100,SMA_200,ATR,UpperBand1,LowerBand1,UpperBand2,LowerBand2,UpperBand3,LowerBand3,date
240,2022-12-15,3958.3701171875,3958.3701171875,3879.449951171875,3895.75,3895.75,4493900000,7.35860598145056,34.98653042080403,11.781152037807388,15.291102043461201,3967.35,3961.32,3937.45,3918.1,3922.59,3861.66,3930.7,4029.68,72.07370363642977,4033.39,3889.25,4105.47,3817.17,4177.54,3745.1,19341.0
241,2022-12-16,3890.909912109375,3890.909912109375,3827.909912109375,3852.360107421875,3852.360107421875,7493660000,8.95447388397667,19.48347426315682,7.058646706739722,14.843429017501755,3941.8,3951.42,3932.59,3915.75,3921.02,3863.82,3928.99,4027.12,71.87210288662953,4023.29,3879.55,4095.16,3807.68,4167.04,3735.8,19342.0
242,2022-12-19,3853.7900390625,3854.860107421875,3800.0400390625,3817.659912109375,3817.659912109375,3969610000,5.855336176178516,7.389472013868577,4.301043129759762,14.804705148750996,3914.21,3939.26,3926.02,3912.25,3918.72,3867.38,3926.44,4024.57,71.06010124247456,4010.32,3868.2,4081.38,3797.14,4152.44,3726.08,19345.0
243,2022-12-20,3810.469970703125,3838.239990234375,3795.6201171875,3821.6201171875,3821.6201171875,3985370000,8.515102281013727,7.7749707803896335,12.136008305776386,14.829286227681498,3893.64,3928.56,3920.06,3909.01,3916.55,3871.56,3923.35,4022.67,69.70580466173172,3998.27,3858.85,4067.97,3789.15,4137.68,3719.44,19346.0
244,2022-12-21,3839.489990234375,3889.820068359375,3839.489990234375,3878.43994140625,3878.43994140625,3775200000,27.123818235316694,13.831418897502976,73.7666133792527,13.933306585828216,3890.26,3924.01,3917.68,3907.92,3915.7,3877.36,3920.95,4021.21,69.63409735269092,3993.64,3854.38,4063.28,3784.74,4132.91,3715.11,19347.0
245,2022-12-22,3853.260009765625,3853.260009765625,3764.489990234375,3822.389892578125,3822.389892578125,3956950000,17.208044516649117,17.615655010993176,30.944211295319008,14.152315466836397,3875.18,3914.77,3912.23,3904.86,3913.62,3882.26,3918.26,4018.93,71.7443761059854,3986.51,3843.03,4058.26,3771.28,4130.0,3699.54,19348.0
246,2022-12-23,3815.110107421875,3845.800048828125,3797.010009765625,3844.820068359375,3844.820068359375,2819280000,27.769928682955648,24.033930478307145,52.850711517030355,14.354477510843948,3868.43,3908.41,3908.38,3902.72,3912.08,3885.76,3915.16,4016.86,70.651312437248,3979.06,3837.76,4049.71,3767.11,4120.36,3696.46,19349.0
247,2022-12-27,3843.340087890625,3846.64990234375,3813.219970703125,3829.25,3829.25,3030300000,33.40208755964051,26.126686919748423,36.69134373563659,14.524340434056707,3859.72,3901.21,3903.86,3900.09,3910.24,3890.69,3911.93,4014.98,68.8788657326469,3970.09,3832.33,4038.97,3763.45,4107.85,3694.57,19353.0
248,2022-12-28,3829.56005859375,3848.320068359375,3780.780029296875,3783.219970703125,3783.219970703125,3083520000,14.815687425649266,25.329234556081804,13.067573575668519,15.140547941991239,3842.72,3890.49,3896.97,3895.92,3907.4,3892.79,3908.31,4013.03,68.81511208168752,3959.31,3821.67,4028.12,3752.86,4096.94,3684.04,19354.0
249,2022-12-29,3805.449951171875,3858.18994140625,3805.449951171875,3849.280029296875,3849.280029296875,3003680000,67.65338403278842,38.62371967269272,69.47649028705865,15.492100862085588,3844.18,3886.74,3894.24,3894.25,3906.11,3895.38,3905.41,4010.97,69.10820058747025,3955.85,3817.63,4024.96,3748.52,4094.06,3679.42,19355.0
250,2022-12-30,3829.06005859375,3839.85009765625,3800.340087890625,3839.5,3839.5,2979870000,59.84996649472487,47.439679317720845,58.27924760278024,15.895433076797154,3843.14,3882.45,3891.11,3892.3,3904.62,3898.26,3902.58,4008.38,68.14780729312643,3950.6,3814.3,4018.75,3746.15,4086.89,3678.01,19356.0
