Date,Open,High,Low,Close,Adj Close,Volume,200SMA,EMA_8,EMA_21
2022-05-02,4130.60986328125,4169.81005859375,4062.510009765625,4155.3798828125,4155.3798828125,5163790000,,4236.37,4331.43
2022-05-03,4159.77978515625,4200.10009765625,4147.080078125,4175.47998046875,4175.47998046875,4582050000,,4222.84,4317.25
2022-05-04,4181.18017578125,4307.66015625,4148.91015625,4300.169921875,4300.169921875,5136360000,,4240.02,4315.7
2022-05-05,4270.43017578125,4270.43017578125,4106.009765625,4146.8701171875,4146.8701171875,5077030000,,4219.32,4300.34
2022-05-06,4128.169921875,4157.68994140625,4067.909912109375,4123.33984375,4123.33984375,5116940000,,4197.99,4284.25
2022-05-09,4081.27001953125,4081.27001953125,3975.47998046875,3991.239990234375,3991.239990234375,5954520000,,4152.05,4257.61
2022-05-10,4035.179931640625,4068.820068359375,3958.169921875,4001.050048828125,4001.050048828125,5885820000,,4118.49,4234.28
2022-05-11,3990.080078125,4049.090087890625,3928.820068359375,3935.179931640625,3935.179931640625,5816140000,,4077.76,4207.08
2022-05-12,3903.949951171875,3964.800048828125,3858.8701171875,3930.080078125,3930.080078125,6286450000,,4044.94,4181.9
2022-05-13,3963.89990234375,4038.8798828125,3963.89990234375,4023.889892578125,4023.889892578125,5183340000,,4040.26,4167.53
2022-05-16,4013.02001953125,4046.4599609375,3983.989990234375,4008.010009765625,4008.010009765625,4415030000,,4033.09,4153.03
2022-05-17,4052.0,4090.719970703125,4033.929931640625,4088.85009765625,4088.85009765625,4841410000,,4045.48,4147.19
2022-05-18,4051.97998046875,4051.97998046875,3911.909912109375,3923.679931640625,3923.679931640625,5103220000,,4018.42,4126.87
2022-05-19,3899.0,3945.9599609375,3876.580078125,3900.7900390625,3900.7900390625,5113550000,,3992.28,4106.31
2022-05-20,3927.760009765625,3943.419921875,3810.320068359375,3901.360107421875,3901.360107421875,5130730000,,3972.07,4087.68
2022-05-23,3919.419921875,3981.8798828125,3909.0400390625,3973.75,3973.75,4420030000,,3972.45,4077.32
2022-05-24,3942.93994140625,3955.679931640625,3875.1298828125,3941.47998046875,3941.47998046875,4923190000,,3965.56,4064.97
2022-05-25,3929.590087890625,3999.330078125,3925.030029296875,3978.72998046875,3978.72998046875,4802560000,,3968.49,4057.13
2022-05-26,3984.60009765625,4075.139892578125,3984.60009765625,4057.840087890625,4057.840087890625,4709970000,,3988.35,4057.2
2022-05-27,4077.429931640625,4158.490234375,4077.429931640625,4158.240234375,4158.240234375,4375620000,,4026.1,4066.38
2022-05-31,4151.08984375,4168.33984375,4104.8798828125,4132.14990234375,4132.14990234375,6822640000,,4049.67,4072.36
2022-06-01,4149.77978515625,4166.5400390625,4073.85009765625,4101.22998046875,4101.22998046875,4531800000,,4061.13,4074.99
2022-06-02,4095.409912109375,4177.509765625,4074.3701171875,4176.81982421875,4176.81982421875,4405790000,,4086.84,4084.24
2022-06-03,4137.56982421875,4142.669921875,4098.669921875,4108.5400390625,4108.5400390625,3711110000,,4091.66,4086.45
2022-06-06,4134.72021484375,4168.77978515625,4109.18017578125,4121.43017578125,4121.43017578125,4332700000,,4098.27,4089.63
2022-06-07,4096.47021484375,4164.85986328125,4080.18994140625,4160.68017578125,4160.68017578125,4248210000,,4112.14,4096.09
2022-06-08,4147.1201171875,4160.14013671875,4107.2001953125,4115.77001953125,4115.77001953125,4159470000,,4112.95,4097.88
2022-06-09,4101.64990234375,4119.10009765625,4017.169921875,4017.820068359375,4017.820068359375,4134170000,,4091.81,4090.6
2022-06-10,3974.389892578125,3974.389892578125,3900.159912109375,3900.860107421875,3900.860107421875,4889640000,,4049.38,4073.35
